,coords,category,lat,long,address
204,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
205,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
206,124.552177/11.33877,Food & Clothes,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
207,122.579987/11.24989,Medical Response,122.579987,11.24989,"Jeriff Fara-on’s Residence, Old Iloilo-Capiz Road, San Miguel, Tapaz, Capiz, Western Visayas, 5041, Pilipinas / Philippines"
208,123.131416/11.41976,Food & Clothes,123.131416,11.41976,"Batad, Iloilo, Western Visayas, 5016, Pilipinas / Philippines"
209,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
210,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
211,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
212,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
213,123.013786/10.37741,Medical Response,123.013786,10.37741,"Pontevedra, Negros Occidental, Western Visayas, 6105, Pilipinas / Philippines"
214,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
215,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
216,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
217,122.587822/11.1485,Medical Response,122.587822,11.1485,"Tubod, Iloilo, Western Visayas, Pilipinas / Philippines"
218,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
219,124.552177/11.33877,Food & Clothes,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
220,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
